profile,seed,stage,generation,best_score
standard,20250951,surface,86,27.905148143335783
standard,20250951,surface,87,27.905148143335783
standard,20250951,surface,88,27.905148143335783
standard,20250951,surface,89,27.905148143335783
standard,20250951,surface,90,27.905148143335783
standard,20250952,point,1,39.977390352595414
standard,20250952,point,2,39.977390352595414
standard,20250952,point,3,40.02266880652915
standard,20250952,point,4,40.04305386488279
standard,20250952,point,5,44.139029602589765
standard,20250952,point,6,44.69096347019595
standard,20250952,point,7,44.726645209595446
standard,20250952,point,8,44.726645209595446
standard,20250952,point,9,45.77016169251126
standard,20250952,point,10,45.77016169251126
standard,20250952,point,11,45.83000750607143
standard,20250952,point,12,45.83000750607143
standard,20250952,point,13,45.83000750607143
standard,20250952,point,14,46.604229642530704
standard,20250952,point,15,46.604229642530704
standard,20250952,point,16,46.604229642530704
standard,20250952,point,17,46.604229642530704
standard,20250952,point,18,46.604229642530704
standard,20250952,point,19,46.604229642530704
standard,20250952,point,20,46.604229642530704
standard,20250952,point,21,46.604229642530704
standard,20250952,point,22,46.65104078244607
standard,20250952,point,23,47.52692623512361
standard,20250952,point,24,47.52692623512361
standard,20250952,point,25,47.613216230210895
standard,20250952,point,26,47.800316187322736
standard,20250952,point,27,47.85355550998593
standard,20250952,point,28,47.85355550998593
standard,20250952,point,29,47.85355550998593
standard,20250952,point,30,47.87564249562802
standard,20250952,point,31,47.87564249562802
standard,20250952,point,32,48.01967844327567
standard,20250952,point,33,48.16327732269886
standard,20250952,point,34,48.16327732269886
standard,20250952,point,35,48.19979409105036
standard,20250952,point,36,48.19979409105036
standard,20250952,point,37,48.2257279293622
standard,20250952,point,38,48.2257279293622
standard,20250952,point,39,48.2257279293622
standard,20250952,point,40,48.240518702975386
standard,20250952,point,41,48.30258188008204
standard,20250952,point,42,48.30258188008204
standard,20250952,point,43,48.44905850999931
standard,20250952,point,44,48.44905850999931
standard,20250952,point,45,48.44905850999931
standard,20250952,point,46,48.44905850999931
standard,20250952,point,47,48.469261493389666
standard,20250952,point,48,48.469261493389666
standard,20250952,point,49,48.469261493389666
standard,20250952,point,50,48.469261493389666
standard,20250952,point,51,48.469261493389666
standard,20250952,point,52,48.469261493389666
standard,20250952,point,53,48.469261493389666
standard,20250952,point,54,48.469261493389666
standard,20250952,point,55,48.47503554829136
standard,20250952,point,56,48.52245600585151
standard,20250952,point,57,48.533220185560815
standard,20250952,point,58,48.57925697004866
standard,20250952,point,59,48.614536413327414
standard,20250952,point,60,48.614536413327414
standard,20250952,point,61,48.614536413327414
standard,20250952,point,62,48.652983193870064
standard,20250952,point,63,48.652983193870064
standard,20250952,point,64,48.652983193870064
standard,20250952,point,65,48.652983193870064
standard,20250952,point,66,48.652983193870064
standard,20250952,point,67,48.68764557543072
standard,20250952,point,68,48.68764557543072
standard,20250952,point,69,48.69206601720672
standard,20250952,point,70,48.69659389398266
standard,20250952,point,71,48.708313085025104
standard,20250952,point,72,48.73911184038472
standard,20250952,point,73,48.764132257697035
standard,20250952,point,74,48.764132257697035
standard,20250952,point,75,48.764132257697035
standard,20250952,point,76,48.764132257697035
standard,20250952,point,77,48.764132257697035
standard,20250952,point,78,48.764132257697035
